name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata City,2019,4901669,118944,Diesel,Trustmark Dealer,Automatic,First Owner
Tata Fortuner,2017,3965056,27374,LPG,Dealer,Manual,First Owner
Mahindra X5,2013,3525315,91471,CNG,Individual,Manual,Third Owner
Honda City,2013,1028791,55913,CNG,Dealer,Manual,Second Owner
Mercedes Swift,2019,4020887,133683,CNG,Dealer,Manual,Second Owner
Toyota Fortuner,2014,3046274,54516,LPG,Trustmark Dealer,Manual,Second Owner
Jaguar C-Class,2014,4595564,97796,Diesel,Individual,Automatic,First Owner
Honda Fortuner,2012,576794,36069,Petrol,Trustmark Dealer,Automatic,Second Owner
Ford C-Class,2020,4078450,128333,Diesel,Dealer,Automatic,Third Owner
Honda Fortuner,2021,3233349,94811,LPG,Dealer,Automatic,First Owner
Mercedes Fortuner,2009,1721466,128028,LPG,Trustmark Dealer,Manual,First Owner
Ford Fortuner,2008,2680252,49178,Petrol,Trustmark Dealer,Manual,First Owner
Jaguar C-Class,2022,982877,42821,LPG,Trustmark Dealer,Manual,First Owner
Mercedes C-Class,2023,4085180,26999,CNG,Individual,Automatic,Third Owner
Hyundai Fortuner,2008,3810793,48712,CNG,Dealer,Manual,Second Owner
Toyota City,2011,3499973,43722,CNG,Trustmark Dealer,Manual,Third Owner
Jaguar X5,2014,3280977,20625,CNG,Dealer,Automatic,Second Owner
Hyundai X5,2022,2499899,16859,CNG,Individual,Automatic,Third Owner
Mahindra X5,2023,2172424,120986,LPG,Individual,Automatic,Fourth & Above Owner
Jaguar C-Class,2008,1536092,31839,Petrol,Individual,Manual,Fourth & Above Owner
Mahindra C-Class,2014,1050350,37216,Petrol,Individual,Manual,Fourth & Above Owner
Ford City,2005,3679027,62953,CNG,Dealer,Automatic,Fourth & Above Owner
Hyundai X5,2022,3405228,59522,LPG,Individual,Automatic,First Owner
Toyota X5,2009,367647,145958,Diesel,Individual,Manual,First Owner
Mercedes Fortuner,2019,2533679,121249,Diesel,Trustmark Dealer,Automatic,Third Owner
Audi C-Class,2021,635477,17485,LPG,Individual,Manual,Third Owner
Honda X5,2007,1883523,122701,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti City,2016,4396656,112638,Petrol,Individual,Automatic,Second Owner
Toyota City,2006,4527308,22226,LPG,Individual,Automatic,Fourth & Above Owner
Hyundai X5,2005,3160033,103405,Diesel,Trustmark Dealer,Manual,Third Owner
Audi C-Class,2021,1781420,32588,Diesel,Individual,Manual,Fourth & Above Owner
Toyota City,2020,986261,47019,Diesel,Dealer,Automatic,Third Owner
Hyundai Fortuner,2009,3694708,75133,CNG,Dealer,Manual,Fourth & Above Owner
BMW City,2019,3028630,124444,Diesel,Individual,Automatic,Second Owner
BMW Swift,2007,4444402,127603,LPG,Dealer,Automatic,Fourth & Above Owner
Mahindra Swift,2011,3279042,138585,LPG,Trustmark Dealer,Manual,Second Owner
Toyota C-Class,2015,2962081,53395,Diesel,Individual,Manual,Second Owner
BMW X5,2014,326060,135814,LPG,Individual,Manual,Third Owner
Hyundai C-Class,2013,4524848,122599,Diesel,Trustmark Dealer,Manual,Second Owner
Mahindra C-Class,2018,2996461,35939,Diesel,Trustmark Dealer,Automatic,First Owner
Hyundai C-Class,2017,3277099,10203,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra C-Class,2006,3044180,39063,CNG,Individual,Manual,First Owner
Toyota Fortuner,2007,2821578,100880,CNG,Trustmark Dealer,Automatic,Third Owner
Audi Fortuner,2011,4787878,13748,Petrol,Trustmark Dealer,Automatic,First Owner
Mercedes City,2022,1872795,127269,Petrol,Dealer,Automatic,Third Owner
Jaguar Swift,2007,4293886,90764,CNG,Dealer,Automatic,Third Owner
Audi C-Class,2014,2454103,118036,Diesel,Individual,Manual,First Owner
Ford City,2011,3139362,126525,Diesel,Dealer,Manual,Second Owner
Hyundai Swift,2013,762060,95679,CNG,Dealer,Automatic,Fourth & Above Owner
Ford X5,2021,1706145,135829,Diesel,Trustmark Dealer,Automatic,Third Owner
Audi Fortuner,2015,2848202,138216,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra Swift,2011,1392931,143175,Diesel,Dealer,Manual,Third Owner
Jaguar X5,2018,1071522,75901,Diesel,Dealer,Manual,Second Owner
Jaguar Swift,2023,1742247,108046,LPG,Dealer,Manual,Second Owner
Maruti Fortuner,2008,4572216,100012,LPG,Individual,Manual,First Owner
Jaguar Fortuner,2010,2381906,88278,LPG,Individual,Automatic,Third Owner
Mercedes City,2014,802276,22391,Diesel,Individual,Automatic,Fourth & Above Owner
Jaguar C-Class,2011,1700134,112476,CNG,Dealer,Automatic,Fourth & Above Owner
Audi Swift,2017,2804884,130721,Petrol,Dealer,Automatic,Third Owner
Maruti Swift,2018,1905243,107537,Diesel,Individual,Manual,Third Owner
Audi X5,2008,4474692,91159,CNG,Individual,Automatic,Third Owner
Audi Fortuner,2012,4222928,141040,Diesel,Dealer,Manual,First Owner
Tata Swift,2009,439779,45503,Petrol,Trustmark Dealer,Manual,Second Owner
Honda Fortuner,2005,3175605,85403,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift,2008,988140,74286,Petrol,Dealer,Manual,First Owner
Audi City,2007,3758539,84842,Diesel,Dealer,Manual,Third Owner
Honda C-Class,2013,3946037,114927,Petrol,Trustmark Dealer,Manual,Third Owner
Honda Swift,2012,2323238,24908,Diesel,Dealer,Manual,Second Owner
Maruti Fortuner,2005,4926276,47228,Petrol,Dealer,Automatic,Third Owner
Tata City,2010,4788727,33386,LPG,Individual,Manual,First Owner
Ford Swift,2013,1818963,38302,Diesel,Individual,Automatic,First Owner
Mahindra X5,2011,790381,70815,Diesel,Trustmark Dealer,Automatic,Second Owner
Mercedes C-Class,2008,3132235,73344,CNG,Trustmark Dealer,Manual,First Owner
Mahindra Swift,2017,3883909,121603,CNG,Dealer,Manual,Fourth & Above Owner
Jaguar City,2021,1739600,71114,Petrol,Individual,Automatic,First Owner
Mercedes X5,2006,2427503,35525,Diesel,Trustmark Dealer,Automatic,First Owner
Jaguar City,2009,4432939,89818,Petrol,Trustmark Dealer,Automatic,First Owner
Audi City,2016,3270771,124589,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Hyundai X5,2012,1343647,104715,CNG,Dealer,Manual,Third Owner
Maruti City,2010,3811646,16644,Petrol,Individual,Manual,First Owner
Mercedes X5,2012,1616953,111154,Petrol,Trustmark Dealer,Manual,Second Owner
Mercedes Swift,2022,2894245,53469,CNG,Individual,Automatic,Fourth & Above Owner
Audi X5,2007,4322186,116609,Diesel,Trustmark Dealer,Manual,Second Owner
Ford X5,2016,621280,75206,Petrol,Trustmark Dealer,Automatic,First Owner
Honda C-Class,2007,1109245,106462,CNG,Individual,Manual,Second Owner
Audi X5,2010,541207,93178,Diesel,Individual,Automatic,First Owner
BMW X5,2006,1430746,96724,LPG,Individual,Manual,Fourth & Above Owner
Tata Swift,2016,3489791,106393,CNG,Dealer,Manual,Second Owner
Honda C-Class,2006,792632,137314,Petrol,Trustmark Dealer,Automatic,Second Owner
Maruti Fortuner,2010,4237106,86312,LPG,Dealer,Automatic,First Owner
Honda Swift,2021,4955185,85324,Diesel,Individual,Automatic,First Owner
Ford Swift,2007,4954896,81196,Diesel,Trustmark Dealer,Automatic,Third Owner
Honda Fortuner,2006,1672178,80014,CNG,Dealer,Automatic,First Owner
Maruti X5,2012,1362189,149282,CNG,Trustmark Dealer,Manual,First Owner
Ford City,2016,4070426,43340,CNG,Dealer,Automatic,Third Owner
Mahindra C-Class,2008,614299,49850,Diesel,Individual,Manual,First Owner
Mercedes City,2009,2581486,123711,LPG,Dealer,Manual,First Owner
Mercedes Fortuner,2017,3876158,21094,Diesel,Trustmark Dealer,Manual,Third Owner
Tata Swift,2019,4361900,97959,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar Swift,2020,325438,15741,Diesel,Trustmark Dealer,Manual,Fourth & Above Owner
Mahindra C-Class,2014,3970183,121585,Petrol,Trustmark Dealer,Automatic,First Owner
Mahindra Swift,2020,2117043,132564,LPG,Individual,Automatic,First Owner
Honda Swift,2016,2399391,78798,CNG,Dealer,Manual,Third Owner
Mercedes C-Class,2021,835719,126026,CNG,Individual,Manual,Third Owner
Maruti C-Class,2020,3001445,120130,Diesel,Individual,Automatic,Fourth & Above Owner
Toyota Fortuner,2016,1008258,32164,CNG,Individual,Automatic,Second Owner
Toyota Swift,2012,4724474,40257,LPG,Trustmark Dealer,Manual,First Owner
Ford Swift,2007,3064140,105989,CNG,Trustmark Dealer,Automatic,Second Owner
Mercedes Fortuner,2020,3764462,146304,Diesel,Trustmark Dealer,Automatic,Second Owner
Mercedes X5,2017,381948,62691,LPG,Dealer,Automatic,Third Owner
Tata X5,2023,2782814,89768,Petrol,Trustmark Dealer,Manual,First Owner
Toyota X5,2012,3969457,24026,Diesel,Dealer,Automatic,First Owner
Mercedes Fortuner,2009,1406751,40908,Petrol,Trustmark Dealer,Manual,Third Owner
Tata Swift,2012,1153692,29610,LPG,Trustmark Dealer,Manual,Second Owner
Honda Fortuner,2016,417770,73185,Diesel,Individual,Manual,Third Owner
BMW Fortuner,2005,4299906,82567,Diesel,Individual,Manual,Fourth & Above Owner
Hyundai X5,2010,2637245,46182,LPG,Individual,Manual,First Owner
Mahindra City,2022,2902882,126136,CNG,Dealer,Automatic,Fourth & Above Owner
Jaguar Swift,2012,1990008,141642,Diesel,Dealer,Manual,Third Owner
Ford X5,2011,2026525,29288,Diesel,Trustmark Dealer,Manual,First Owner
BMW City,2005,4713070,88824,Petrol,Dealer,Manual,Fourth & Above Owner
Toyota City,2020,1538530,94425,CNG,Trustmark Dealer,Automatic,Fourth & Above Owner
Tata C-Class,2016,4666951,10917,Petrol,Dealer,Automatic,Second Owner
Mahindra Swift,2010,2381913,85602,Petrol,Dealer,Automatic,First Owner
Mercedes City,2006,1678768,74575,CNG,Dealer,Automatic,Fourth & Above Owner
Jaguar X5,2018,1765213,82518,CNG,Individual,Automatic,Fourth & Above Owner
Mercedes C-Class,2008,2963398,49104,LPG,Dealer,Automatic,Second Owner
Maruti Swift,2005,888152,26999,CNG,Individual,Automatic,Fourth & Above Owner
Maruti Fortuner,2022,602980,71169,Diesel,Individual,Manual,Fourth & Above Owner
Jaguar X5,2017,1238336,139744,CNG,Dealer,Manual,Fourth & Above Owner
Tata City,2006,3078350,120684,LPG,Trustmark Dealer,Automatic,Second Owner
Jaguar City,2013,1368932,69821,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Toyota X5,2006,1649087,145601,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar City,2013,2731528,22192,CNG,Dealer,Automatic,First Owner
Honda C-Class,2005,2308542,84102,CNG,Trustmark Dealer,Manual,First Owner
Mercedes Swift,2015,1137635,124894,Petrol,Individual,Manual,Second Owner
BMW C-Class,2007,3702626,96795,Petrol,Trustmark Dealer,Automatic,Third Owner
Audi City,2008,1586689,76677,Diesel,Dealer,Manual,First Owner
Tata Fortuner,2022,4016126,145699,Petrol,Trustmark Dealer,Automatic,Second Owner
Jaguar Swift,2010,3266983,144327,Diesel,Individual,Automatic,Fourth & Above Owner
Ford Swift,2007,3046230,146285,LPG,Dealer,Manual,Fourth & Above Owner
Maruti X5,2015,2318433,112412,Petrol,Trustmark Dealer,Manual,Second Owner
Honda X5,2019,4656397,29404,CNG,Dealer,Manual,Fourth & Above Owner
Mahindra Fortuner,2009,3878621,126545,Petrol,Dealer,Automatic,Fourth & Above Owner
Audi Swift,2014,4756766,33989,Diesel,Dealer,Automatic,Third Owner
Tata Fortuner,2016,1497991,118106,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
BMW X5,2019,3931404,34519,LPG,Dealer,Manual,First Owner
Audi X5,2021,2014188,32439,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar Swift,2014,2307359,128570,Diesel,Individual,Automatic,Second Owner
Toyota C-Class,2010,418401,24995,CNG,Trustmark Dealer,Manual,Third Owner
Maruti City,2022,1185132,33559,CNG,Individual,Manual,Fourth & Above Owner
Maruti X5,2017,359292,99049,Diesel,Trustmark Dealer,Automatic,Second Owner
Mahindra X5,2007,4891066,146093,CNG,Dealer,Automatic,First Owner
Toyota C-Class,2014,3367759,108000,CNG,Trustmark Dealer,Manual,Fourth & Above Owner
Mercedes C-Class,2018,663937,49350,Petrol,Dealer,Automatic,Third Owner
Hyundai Fortuner,2010,3164391,35517,CNG,Individual,Manual,Fourth & Above Owner
Honda Fortuner,2007,2881206,99132,CNG,Trustmark Dealer,Automatic,Second Owner
Maruti City,2020,1392097,69546,CNG,Dealer,Automatic,Third Owner
Ford City,2011,387771,115686,CNG,Individual,Automatic,Fourth & Above Owner
Maruti Swift,2018,437199,98151,Diesel,Individual,Manual,First Owner
Audi Fortuner,2013,3057281,13327,LPG,Trustmark Dealer,Manual,Third Owner
Maruti X5,2019,2932481,130318,Petrol,Individual,Automatic,First Owner
Tata Fortuner,2007,2474316,125945,CNG,Dealer,Automatic,Second Owner
Maruti X5,2006,3802615,56830,CNG,Individual,Automatic,Fourth & Above Owner
Hyundai C-Class,2006,1783214,62446,Diesel,Individual,Manual,First Owner
Hyundai Fortuner,2007,951518,79341,LPG,Dealer,Automatic,Second Owner
BMW C-Class,2022,713313,41085,CNG,Individual,Automatic,Fourth & Above Owner
Mercedes City,2018,4131586,65571,Diesel,Individual,Automatic,Second Owner
Ford City,2022,3414215,138308,Petrol,Individual,Automatic,First Owner
Maruti Swift,2014,3660989,15750,Petrol,Individual,Manual,Second Owner
Maruti Fortuner,2006,2532214,123931,CNG,Dealer,Manual,Third Owner
Honda C-Class,2005,2530229,88768,CNG,Individual,Automatic,Fourth & Above Owner
Hyundai X5,2008,2063462,45903,LPG,Dealer,Manual,Second Owner
Ford City,2018,854224,101036,LPG,Individual,Manual,First Owner
Mahindra City,2005,2450397,97954,CNG,Individual,Manual,Fourth & Above Owner
BMW X5,2018,2199284,93014,Diesel,Individual,Automatic,Third Owner
Mercedes C-Class,2020,2201676,127305,LPG,Individual,Manual,Fourth & Above Owner
Toyota C-Class,2018,1884532,42101,CNG,Dealer,Manual,Third Owner
Mercedes Fortuner,2007,654418,12775,LPG,Dealer,Manual,Fourth & Above Owner
Tata Fortuner,2007,1672542,121497,CNG,Dealer,Automatic,Second Owner
Audi Swift,2013,4673014,55619,Petrol,Trustmark Dealer,Automatic,Second Owner
Tata City,2010,762621,67124,CNG,Individual,Manual,First Owner
Maruti Fortuner,2017,3729801,75149,Petrol,Individual,Manual,Third Owner
BMW C-Class,2006,1798099,36616,LPG,Dealer,Automatic,First Owner
Audi X5,2012,4394463,71799,CNG,Trustmark Dealer,Automatic,Second Owner
Ford C-Class,2006,4013233,100221,LPG,Individual,Manual,Third Owner
Toyota City,2008,1411569,124879,Petrol,Dealer,Manual,First Owner
Hyundai C-Class,2019,4761307,35479,CNG,Individual,Automatic,First Owner
BMW Swift,2008,1395885,109165,LPG,Individual,Automatic,First Owner
BMW City,2017,1356083,65863,Petrol,Dealer,Manual,First Owner
Tata X5,2016,2174324,92569,LPG,Dealer,Automatic,First Owner
Maruti Swift,2017,4098190,26351,Diesel,Individual,Manual,Third Owner
Jaguar City,2018,3588445,145203,Petrol,Individual,Manual,First Owner
Tata X5,2022,2942974,54825,Petrol,Dealer,Manual,Third Owner
BMW Swift,2010,3692099,21349,Petrol,Individual,Automatic,First Owner
Honda Swift,2015,1479180,54254,CNG,Individual,Manual,Second Owner
Toyota City,2006,3533178,48225,CNG,Dealer,Manual,Second Owner
Tata Fortuner,2023,4731211,22453,CNG,Individual,Automatic,First Owner
Toyota Swift,2023,2784182,87694,Diesel,Individual,Automatic,Fourth & Above Owner
Honda Swift,2009,2008286,25735,Diesel,Trustmark Dealer,Manual,Second Owner
Mahindra X5,2023,4799757,57893,Petrol,Dealer,Manual,Third Owner
Honda C-Class,2006,4563089,137006,Diesel,Trustmark Dealer,Automatic,First Owner
Honda City,2014,2997921,55066,LPG,Trustmark Dealer,Automatic,Third Owner
Toyota City,2006,4574142,144445,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
Mercedes Fortuner,2015,469160,20692,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2022,2769931,55541,LPG,Individual,Manual,Second Owner
Jaguar City,2019,641904,76983,Petrol,Trustmark Dealer,Manual,Third Owner
Maruti Fortuner,2013,778526,130747,Diesel,Trustmark Dealer,Automatic,Second Owner
Audi X5,2023,1037393,95103,CNG,Trustmark Dealer,Manual,Second Owner
Mercedes City,2013,3545503,35566,LPG,Individual,Automatic,First Owner
Hyundai Fortuner,2007,1014422,83193,Diesel,Trustmark Dealer,Manual,Third Owner
Audi City,2013,934983,131015,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Maruti C-Class,2018,2463429,140956,LPG,Dealer,Manual,Second Owner
Tata Swift,2023,3335812,80744,Petrol,Dealer,Manual,First Owner
Jaguar City,2011,4475115,43455,Petrol,Individual,Automatic,First Owner
Jaguar Swift,2020,3076280,64219,Diesel,Dealer,Automatic,Fourth & Above Owner
Hyundai Fortuner,2020,3138687,55991,LPG,Dealer,Manual,First Owner
Mercedes Swift,2005,1616842,83616,Petrol,Dealer,Automatic,Second Owner
Mahindra City,2008,2531256,97438,Petrol,Individual,Automatic,First Owner
Honda C-Class,2008,3889024,126841,LPG,Dealer,Manual,Third Owner
Mercedes Fortuner,2011,4596650,68870,Diesel,Individual,Automatic,Third Owner
Mahindra City,2012,3902418,96694,Diesel,Trustmark Dealer,Manual,Second Owner
Jaguar Fortuner,2021,2481608,53856,LPG,Dealer,Manual,Third Owner
Toyota X5,2009,4130010,111407,Diesel,Individual,Automatic,Fourth & Above Owner
Maruti Swift,2011,3841771,41379,Petrol,Dealer,Automatic,First Owner
Hyundai X5,2008,4279441,74729,LPG,Trustmark Dealer,Manual,Second Owner
Maruti City,2010,1160652,64353,Petrol,Individual,Manual,Fourth & Above Owner
Ford C-Class,2011,2388370,24031,CNG,Individual,Manual,First Owner
Ford Fortuner,2022,1748485,75982,CNG,Individual,Manual,Fourth & Above Owner
Tata Swift,2009,1767343,46683,Diesel,Trustmark Dealer,Manual,Second Owner
Mercedes Fortuner,2007,3525495,124091,CNG,Trustmark Dealer,Manual,Second Owner
Jaguar City,2011,3585744,127797,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
Jaguar Fortuner,2018,955612,16587,CNG,Individual,Automatic,First Owner
Honda Swift,2011,4194528,72790,Petrol,Trustmark Dealer,Automatic,Third Owner
Honda City,2009,2276475,41480,Diesel,Dealer,Manual,Third Owner
Honda Fortuner,2009,2341912,33569,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Toyota C-Class,2006,3344311,21151,Petrol,Individual,Manual,Second Owner
Audi City,2010,485622,54739,CNG,Dealer,Manual,First Owner
BMW City,2019,2162889,42954,Diesel,Trustmark Dealer,Automatic,First Owner
Audi C-Class,2014,2106862,119373,LPG,Dealer,Manual,Second Owner
Maruti X5,2011,4226390,44700,Diesel,Dealer,Manual,Third Owner
Audi Swift,2009,1596436,133728,CNG,Individual,Manual,First Owner
Toyota X5,2005,867540,76788,LPG,Dealer,Manual,Fourth & Above Owner
Tata Fortuner,2017,2395690,81045,CNG,Dealer,Manual,Third Owner
Maruti C-Class,2022,1788236,137992,Petrol,Individual,Manual,Fourth & Above Owner
Audi X5,2017,4905815,90059,LPG,Individual,Automatic,Third Owner
Toyota City,2022,3182410,11881,CNG,Individual,Manual,Second Owner
BMW Fortuner,2009,1604355,142702,LPG,Dealer,Manual,Fourth & Above Owner
Audi Fortuner,2017,2875480,30789,CNG,Dealer,Manual,Fourth & Above Owner
Toyota X5,2008,3624083,136083,LPG,Dealer,Manual,Second Owner
Honda X5,2021,2664722,98059,CNG,Individual,Automatic,Fourth & Above Owner
Jaguar C-Class,2007,3101092,56151,Petrol,Trustmark Dealer,Automatic,Third Owner
Honda Swift,2021,2450229,119388,LPG,Dealer,Manual,First Owner
Jaguar X5,2015,1722534,13262,LPG,Trustmark Dealer,Manual,First Owner
Hyundai X5,2008,1922907,76981,LPG,Individual,Manual,Second Owner
Hyundai City,2006,2715967,130951,LPG,Dealer,Automatic,Third Owner
Hyundai Fortuner,2020,4875112,133099,Petrol,Trustmark Dealer,Automatic,Fourth & Above Owner
BMW Swift,2022,3070574,91972,LPG,Dealer,Automatic,Fourth & Above Owner
Honda City,2012,3088939,85485,Diesel,Dealer,Automatic,First Owner
Jaguar C-Class,2007,4186280,64722,Petrol,Dealer,Manual,Fourth & Above Owner
Toyota C-Class,2013,2244940,99499,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti X5,2010,2299409,16901,LPG,Individual,Automatic,Second Owner
Toyota X5,2014,3372382,127473,CNG,Dealer,Manual,Fourth & Above Owner
Maruti C-Class,2014,4081857,18597,Diesel,Individual,Manual,Third Owner
Ford X5,2017,4737871,139631,LPG,Individual,Automatic,Fourth & Above Owner
Toyota Swift,2021,491464,73909,Diesel,Trustmark Dealer,Automatic,First Owner
Audi X5,2013,4939400,82391,LPG,Trustmark Dealer,Automatic,Second Owner
Audi Fortuner,2021,2873829,149335,LPG,Individual,Automatic,First Owner
Mercedes X5,2013,318581,73293,LPG,Dealer,Manual,Fourth & Above Owner
Honda City,2013,4052256,21874,CNG,Trustmark Dealer,Manual,First Owner
Maruti Swift,2005,538540,96402,Diesel,Dealer,Automatic,First Owner
Maruti City,2006,701590,24079,Petrol,Dealer,Automatic,Second Owner
Tata City,2020,1618412,82779,Petrol,Dealer,Automatic,Third Owner
Honda Fortuner,2005,3560492,105408,Petrol,Individual,Automatic,Fourth & Above Owner
BMW Swift,2014,1830369,130606,Petrol,Dealer,Automatic,Second Owner
Mercedes Swift,2022,1072328,130062,LPG,Individual,Manual,Third Owner
BMW Swift,2012,3310691,22100,Diesel,Individual,Manual,First Owner
BMW Swift,2015,1558097,67021,Diesel,Dealer,Manual,Third Owner
BMW Swift,2006,3500354,138126,CNG,Dealer,Automatic,First Owner
Honda Fortuner,2012,1494315,102446,Diesel,Dealer,Automatic,First Owner
BMW X5,2012,2775508,39437,Diesel,Dealer,Manual,Second Owner
Audi City,2021,2576219,30862,Diesel,Individual,Manual,First Owner
Tata Swift,2019,1558311,21669,CNG,Dealer,Automatic,Second Owner
Tata X5,2021,4710784,131219,Petrol,Dealer,Manual,Third Owner
Hyundai X5,2017,1489467,25916,Diesel,Individual,Automatic,Third Owner
Ford City,2023,364074,20878,CNG,Trustmark Dealer,Automatic,First Owner
Maruti Fortuner,2009,2770466,12985,CNG,Trustmark Dealer,Manual,Second Owner
Maruti C-Class,2016,3855180,51235,LPG,Individual,Manual,First Owner
Ford C-Class,2005,4683120,28931,CNG,Trustmark Dealer,Manual,Second Owner
Honda X5,2009,990645,102876,Petrol,Individual,Automatic,Second Owner
Toyota City,2012,3487093,10336,Diesel,Dealer,Automatic,Second Owner
Honda C-Class,2017,1217481,52933,CNG,Dealer,Manual,Third Owner
Maruti X5,2012,3794804,55536,Petrol,Trustmark Dealer,Automatic,Second Owner
Maruti Fortuner,2015,262507,79504,CNG,Dealer,Automatic,Third Owner
Ford C-Class,2005,1305710,109214,CNG,Trustmark Dealer,Automatic,Second Owner
BMW X5,2017,2538377,123936,CNG,Trustmark Dealer,Manual,Third Owner
Honda X5,2023,4587373,26279,CNG,Dealer,Automatic,Fourth & Above Owner
Jaguar Swift,2007,1006564,113751,CNG,Dealer,Manual,Third Owner
Ford Fortuner,2021,4118949,114433,Petrol,Trustmark Dealer,Manual,Third Owner
Audi Swift,2009,1809473,81386,Diesel,Dealer,Automatic,First Owner
Maruti City,2012,1911952,96124,Diesel,Individual,Manual,Second Owner
Ford Swift,2018,937954,115750,Diesel,Dealer,Automatic,Fourth & Above Owner
Honda Swift,2008,3108056,87485,Diesel,Dealer,Manual,First Owner
Maruti C-Class,2015,907173,84055,Petrol,Individual,Manual,Second Owner
Toyota X5,2019,4710579,101911,LPG,Dealer,Automatic,Fourth & Above Owner
Ford Fortuner,2023,879447,108618,LPG,Dealer,Manual,Fourth & Above Owner
Mercedes Swift,2011,1261404,123892,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner
Maruti Fortuner,2023,3180248,81128,Petrol,Dealer,Manual,Second Owner
Honda Swift,2023,2813987,62495,CNG,Dealer,Automatic,Fourth & Above Owner
Hyundai City,2015,2953913,92806,CNG,Individual,Automatic,Fourth & Above Owner
Jaguar Swift,2009,2735232,103185,CNG,Trustmark Dealer,Manual,First Owner
Mahindra C-Class,2009,2578907,59649,Diesel,Trustmark Dealer,Manual,Third Owner
BMW X5,2012,4732688,105402,CNG,Trustmark Dealer,Manual,Second Owner
Mahindra City,2014,3029915,40676,LPG,Dealer,Automatic,Third Owner
Honda Swift,2010,2563162,74093,Diesel,Trustmark Dealer,Automatic,First Owner
Audi Fortuner,2019,1115113,89414,CNG,Individual,Manual,Third Owner
Audi City,2020,2892794,103095,Diesel,Trustmark Dealer,Automatic,Fourth & Above Owner
Hyundai City,2021,2411549,82307,LPG,Individual,Automatic,Fourth & Above Owner
BMW Swift,2012,2545704,105432,CNG,Trustmark Dealer,Automatic,Second Owner
Mercedes City,2012,4781025,41923,LPG,Trustmark Dealer,Automatic,Second Owner
Hyundai Fortuner,2013,623332,127449,LPG,Individual,Manual,Second Owner
