car_brand,car_age,kilometers_driven,engine_capacity,mileage,owners,fuel_type,transmission,selling_price
Land Rover,5,14715,3306,17.87,1,Petrol,Manual,4073058.82
Toyota,4,24169,3095,16.59,4,Petrol,Automatic,1582632.17
Hyundai,3,123413,2389,10.45,4,Diesel,Manual,819450.51
Mercedes,10,124264,2496,18.61,4,CNG,Automatic,2893567.41
Jaguar,13,10782,3793,12.65,1,CNG,Manual,3175135.8
Toyota,5,129481,3269,16.29,2,CNG,Automatic,1353596.6
Mercedes,11,40585,2746,9.4,3,Diesel,Automatic,3249520.07
Ford,8,35682,2862,15.81,3,CNG,Automatic,1034662.86
Toyota,11,134992,3583,13.21,3,Diesel,Automatic,1049956.56
Ford,4,89416,1945,21.98,4,Diesel,Automatic,1073388.64
Land Rover,1,132810,3124,8.97,1,CNG,Automatic,4140242.48
Mercedes,11,43067,2381,15.12,4,Petrol,Manual,2789400.57
Jaguar,7,23073,3300,15.79,2,Petrol,Automatic,3633621.6
Hyundai,8,41035,3445,20.33,1,CNG,Manual,1007149.86
Honda,3,95373,3293,17.76,3,CNG,Automatic,1443973.48
Audi,6,88362,3057,19.34,4,Diesel,Manual,3125444.77
BMW,2,95517,3561,21.21,4,CNG,Manual,3546097.67
Jaguar,7,70450,3149,22.66,2,Diesel,Manual,3431610.54
Mercedes,8,15382,2732,13.34,2,CNG,Manual,3276075.24
Honda,6,140509,2557,17.15,4,Petrol,Manual,621317.3
Jaguar,6,66929,2850,22.28,2,Petrol,Manual,3267649.61
Mercedes,5,103864,1789,24.82,3,CNG,Automatic,3204424.46
Maruti,8,148401,2341,23.12,2,Diesel,Manual,382200.35
Maruti,1,30169,1916,14.31,2,Petrol,Automatic,1172671.6
Ford,10,92468,3367,11.32,4,Diesel,Automatic,929556.47
Jaguar,4,39594,1292,16.32,4,CNG,Manual,2942820.98
Maruti,4,50033,1419,20.61,1,CNG,Manual,537009.75
Mercedes,3,68133,3178,16.37,1,Petrol,Automatic,3963580.41
Ford,3,78861,3180,16.21,4,CNG,Manual,1140216.84
Mercedes,4,36750,2897,22.25,2,Petrol,Manual,3658259.14
Ford,11,45461,2346,14.14,2,Diesel,Manual,615217.51
Jaguar,1,83222,1662,22.62,1,Petrol,Manual,3357533.55
Honda,14,117020,2491,14.92,1,Petrol,Manual,154794.98
Hyundai,11,29226,2405,13.58,1,Diesel,Manual,605139.82
Toyota,13,11721,3119,15.72,3,Petrol,Manual,757041.9
Honda,11,25609,1379,20.96,3,Petrol,Automatic,454696.94
Land Rover,2,135513,2690,10.14,1,CNG,Manual,3701997.49
Mercedes,9,109211,2075,11.34,2,Diesel,Automatic,3068997.29
Land Rover,10,141728,3407,24.17,1,Petrol,Automatic,3561913.39
Honda,2,129865,3543,10.98,3,Diesel,Automatic,1604406.68
Ford,5,79520,2655,17.65,2,Diesel,Automatic,1297025.47
Toyota,9,69309,3961,17.85,3,Petrol,Manual,1194900.92
Toyota,9,34984,3293,16.32,2,CNG,Automatic,1337994.27
BMW,8,123947,3864,18.96,3,Diesel,Automatic,3393675.99
Toyota,1,10901,2155,11.91,2,Petrol,Automatic,1667452.9
Hyundai,1,36055,1962,17.4,2,Diesel,Automatic,1450288.13
Toyota,9,119099,1156,14.33,2,CNG,Automatic,457238.13
Honda,13,16138,2424,19.25,2,CNG,Manual,448260.47
BMW,11,28429,3121,10.4,4,CNG,Manual,2806718.64
Honda,8,55200,3890,17.7,3,Petrol,Automatic,1371339.31
Honda,10,106268,2806,11.15,3,Petrol,Manual,464385.22
Audi,9,22347,3158,12.74,4,CNG,Manual,2921829.18
BMW,7,36822,1669,11.72,2,Petrol,Automatic,3017670.11
Honda,3,45108,1685,11.11,2,CNG,Automatic,1128494.45
Audi,3,133955,2801,22.04,3,Petrol,Automatic,3248540.61
Audi,2,12967,3001,12.86,4,CNG,Manual,3462558.27
BMW,5,115719,2213,23.76,2,Diesel,Automatic,3322611.22
Land Rover,12,16871,2083,24.49,2,CNG,Manual,3145661.04
Ford,12,33179,1419,17.71,2,CNG,Manual,155094.63
Hyundai,3,60099,1682,10.43,1,Petrol,Manual,775965.8
Ford,14,40262,1596,14.37,4,Petrol,Automatic,120640.34
Toyota,6,83213,2972,21.56,2,Petrol,Manual,1182955.0
Hyundai,2,122407,2096,14.25,1,Petrol,Automatic,1001365.43
Toyota,12,91269,1418,9.48,4,Petrol,Automatic,252725.56
Honda,3,65545,2634,17.47,2,Petrol,Automatic,1387891.95
Mercedes,5,44922,1044,22.37,3,Diesel,Automatic,3290779.97
BMW,12,47913,3695,21.53,1,CNG,Automatic,3244725.22
Hyundai,11,102033,3297,10.98,1,CNG,Manual,499901.36
Hyundai,11,109792,1729,19.44,2,CNG,Manual,-14078.85
Honda,1,124863,2070,11.75,2,Diesel,Manual,1103596.64
Land Rover,13,49936,1319,11.71,1,CNG,Manual,2721983.8
Audi,1,33141,3209,22.86,3,Diesel,Manual,3790474.67
Honda,10,145146,807,12.24,3,Diesel,Automatic,91869.25
Maruti,9,142478,3325,12.48,4,Diesel,Automatic,706007.05
Audi,7,102359,2819,8.01,2,CNG,Manual,2796179.9
BMW,1,128279,1294,22.8,3,Diesel,Manual,3059205.06
Audi,12,46568,2429,21.47,4,CNG,Manual,2406816.73
Land Rover,14,102539,3680,18.66,3,CNG,Automatic,3328813.05
Audi,8,51851,1862,20.75,2,Petrol,Automatic,2861785.79
BMW,3,59823,3440,10.58,4,Petrol,Automatic,3652849.87
Land Rover,8,28312,986,15.79,4,Diesel,Manual,3103748.85
Ford,5,103723,3601,13.97,4,Diesel,Manual,1190226.2
Hyundai,1,17411,2677,9.59,3,CNG,Manual,1252567.7
Hyundai,7,62009,2940,16.26,2,Diesel,Manual,950118.22
Toyota,5,37371,885,23.65,4,Diesel,Automatic,990158.72
Ford,6,62022,3915,8.68,1,CNG,Manual,1307945.29
Ford,6,76229,936,12.95,2,Diesel,Manual,461786.9
Audi,8,104071,3268,11.53,1,Diesel,Manual,3085916.5
Hyundai,9,101774,2921,12.05,1,CNG,Automatic,773077.56
BMW,2,31715,2436,23.44,4,CNG,Automatic,3597016.1
Jaguar,9,32605,3018,15.96,4,Petrol,Manual,3052922.37
Jaguar,12,104853,2551,15.93,3,CNG,Automatic,2738567.25
Land Rover,11,36174,3017,20.93,3,Petrol,Automatic,3563068.57
Hyundai,10,146028,2587,10.63,3,Diesel,Automatic,464482.78
Hyundai,9,81373,1671,16.28,2,CNG,Automatic,412906.45
Jaguar,13,74252,3169,15.31,3,CNG,Automatic,2926229.95
Hyundai,10,75017,3303,18.15,1,CNG,Manual,693110.71
Audi,10,68037,1743,24.99,3,Diesel,Manual,2561302.65
Maruti,7,94818,2426,21.08,4,Petrol,Manual,373339.48
Mercedes,1,11548,3637,14.76,3,Diesel,Automatic,4437571.74
Ford,7,121981,3460,22.07,2,Diesel,Automatic,1251485.42
Toyota,10,29022,3736,10.9,2,CNG,Automatic,1401908.19
Land Rover,5,111297,1148,8.52,1,Petrol,Automatic,3302044.15
Maruti,6,141614,2476,11.48,2,Diesel,Manual,525762.76
Jaguar,10,65428,1996,13.79,3,CNG,Manual,2613541.79
Ford,7,64353,809,16.68,4,Diesel,Manual,261617.98
Hyundai,14,118132,3587,18.46,2,Diesel,Manual,459563.45
Toyota,5,21052,2261,23.48,1,CNG,Manual,1279129.07
Hyundai,7,105689,1466,16.67,3,CNG,Manual,147958.24
BMW,9,136743,3393,16.52,1,Petrol,Automatic,3091137.37
BMW,3,5163,2322,8.85,2,Diesel,Automatic,3726929.12
Toyota,8,46424,2976,8.59,2,CNG,Manual,1030194.58
Toyota,2,146706,1400,17.37,1,CNG,Automatic,1072598.99
Jaguar,11,140870,3452,15.45,3,Petrol,Manual,2768611.46
Toyota,7,27420,1126,22.27,2,Petrol,Manual,714080.72
Audi,13,125575,1779,10.73,4,CNG,Automatic,2018538.06
Hyundai,2,34300,3251,8.42,2,Petrol,Manual,1343990.83
Maruti,14,94881,1428,15.63,3,CNG,Manual,-462045.33
Honda,4,15749,2429,12.04,2,Diesel,Manual,1302571.91
Toyota,7,109131,3565,8.84,1,Petrol,Automatic,1368003.49
Land Rover,3,133563,3888,20.32,2,Diesel,Automatic,4354786.24
BMW,2,42487,1073,9.9,2,Diesel,Automatic,3338243.41
Audi,11,26223,1484,18.34,3,Diesel,Automatic,2693562.03
Ford,10,77930,915,12.78,1,CNG,Manual,68217.67
Honda,7,33380,1660,10.95,3,Diesel,Automatic,939851.77
Maruti,1,31035,2803,14.46,2,Diesel,Automatic,1630079.79
Honda,14,35620,1492,21.62,4,Diesel,Automatic,351639.5
Toyota,8,122360,3962,14.67,2,CNG,Manual,1152838.84
Jaguar,3,58352,1905,20.76,3,Diesel,Automatic,3550598.56
BMW,12,8191,3171,10.13,4,Diesel,Automatic,3194137.54
BMW,12,95536,3808,21.14,3,Petrol,Manual,2871643.61
Ford,13,109576,2961,12.03,3,CNG,Manual,201513.46
Jaguar,2,8631,2592,19.52,1,Diesel,Manual,3911023.43
Hyundai,3,142244,3929,17.62,4,Petrol,Manual,1096980.53
Mercedes,5,47080,953,23.8,2,CNG,Automatic,3146441.77
Audi,11,95353,2700,14.58,3,CNG,Manual,2427256.88
BMW,8,33671,2227,9.12,2,CNG,Automatic,3067308.68
Land Rover,10,127811,2089,8.33,1,CNG,Automatic,3134672.45
BMW,7,132734,1114,22.06,1,CNG,Automatic,2668044.55
Honda,7,56399,1864,16.92,4,CNG,Automatic,783747.68
BMW,12,12099,904,21.18,1,Diesel,Automatic,2669145.27
BMW,7,61492,2724,11.99,1,Diesel,Manual,3240460.85
Mercedes,8,101722,2713,13.87,2,Diesel,Automatic,3404608.99
Mercedes,1,35111,2016,8.51,1,Diesel,Automatic,3963736.15
Maruti,4,68936,2224,24.35,1,Petrol,Automatic,1000398.92
Hyundai,13,65920,3201,19.35,3,Diesel,Manual,508646.55
Land Rover,6,68530,3863,23.86,1,CNG,Automatic,4250319.46
BMW,9,12788,2572,12.51,3,Diesel,Automatic,3284045.61
BMW,13,33082,2760,18.39,1,Diesel,Manual,2874844.91
Audi,2,128287,3580,19.53,1,CNG,Automatic,3624405.96
Mercedes,1,94570,2403,13.4,4,Diesel,Automatic,3748379.55
Land Rover,13,106015,1508,22.42,4,Diesel,Manual,2668848.78
Ford,10,88588,1450,24.1,3,Diesel,Automatic,447119.24
Maruti,12,93340,3671,23.04,1,Petrol,Automatic,750163.62
Hyundai,14,99439,1746,20.56,2,Diesel,Automatic,179006.15
Jaguar,2,146214,1460,12.72,4,CNG,Automatic,3003779.93
Hyundai,7,120053,2946,12.79,2,CNG,Automatic,839549.62
Honda,3,53355,3435,24.38,4,Diesel,Manual,1562910.49
BMW,10,145938,3129,8.17,4,Diesel,Manual,2689398.54
Maruti,2,130426,3250,20.17,1,Diesel,Manual,1197094.22
Honda,14,69027,1932,20.01,4,CNG,Automatic,221914.46
Land Rover,11,97601,1499,18.59,2,CNG,Automatic,2997991.6
Jaguar,7,34956,3046,24.83,4,Petrol,Automatic,3448910.19
Mercedes,13,109797,2838,13.3,3,Petrol,Manual,2570283.9
Maruti,13,129917,3174,13.78,1,Petrol,Automatic,338613.06
Maruti,2,131303,3001,9.34,1,CNG,Automatic,1130566.51
BMW,3,141511,1351,15.53,3,Petrol,Automatic,2871315.98
Toyota,11,47533,1204,12.44,3,Diesel,Manual,424960.88
Maruti,7,83815,1261,13.84,3,Diesel,Manual,191141.59
Audi,14,44279,2979,22.19,4,CNG,Automatic,2683438.44
Jaguar,4,114787,3638,23.9,1,Petrol,Automatic,3788405.63
Jaguar,13,66063,1673,11.16,3,Diesel,Automatic,2629746.58
Audi,14,132896,883,14.33,4,CNG,Manual,1530236.52
Ford,1,102661,2222,23.79,3,Petrol,Manual,1062273.82
Audi,13,143051,3601,9.05,2,Diesel,Manual,2607635.16
Audi,14,128257,3475,9.57,2,Petrol,Automatic,2591490.21
Jaguar,5,91205,3980,10.77,1,CNG,Manual,3630015.44
Hyundai,12,11910,1020,18.12,4,Petrol,Automatic,88264.34
Jaguar,9,51857,3400,10.56,2,CNG,Automatic,3362067.9
Toyota,8,39964,2191,24.46,2,Petrol,Manual,895324.28
BMW,12,142050,911,15.59,4,Diesel,Automatic,2113015.24
Honda,9,22153,1414,16.53,3,CNG,Manual,404654.87
Hyundai,10,64765,2381,12.19,4,CNG,Automatic,465265.08
Mercedes,14,113212,3771,16.01,3,CNG,Automatic,3037699.02
Honda,9,44071,1274,19.25,2,Petrol,Manual,393414.9
BMW,7,117990,3683,20.77,2,Petrol,Automatic,3389738.48
Toyota,4,74519,2713,20.82,2,Diesel,Automatic,1637883.7
Toyota,5,14503,1070,17.82,1,CNG,Automatic,1108185.63
Mercedes,1,100457,3268,23.37,1,CNG,Automatic,4068093.47
Hyundai,14,50838,2720,21.9,1,Petrol,Automatic,511818.57
Ford,1,130200,3554,20.87,4,Petrol,Automatic,1491597.88
Audi,3,94489,2190,8.95,2,Diesel,Automatic,3314577.99
Hyundai,13,31806,839,8.12,2,Diesel,Automatic,131360.64
Ford,14,75119,2782,11.61,4,Petrol,Manual,159575.26
Toyota,8,43714,3036,19.28,1,CNG,Manual,1140965.78
Jaguar,14,60419,1793,14.99,4,Diesel,Automatic,2548230.28
BMW,2,110432,2812,14.84,1,Petrol,Automatic,3560878.55
Mercedes,4,97949,3383,23.04,2,Petrol,Manual,3603830.24
BMW,2,138533,3875,23.22,3,CNG,Automatic,3770249.05
Land Rover,14,81971,1089,23.46,1,Petrol,Manual,2528471.12
Land Rover,5,98471,3280,13.34,2,Petrol,Manual,3727494.41
Hyundai,9,69946,3318,19.75,2,Diesel,Manual,906647.7
Toyota,1,103989,3475,12.62,3,Petrol,Automatic,1774467.75
Toyota,5,89080,1078,11.24,2,Petrol,Automatic,807967.1
Audi,14,82794,3724,11.14,2,Diesel,Automatic,2941624.48
Audi,9,35841,1380,13.82,1,CNG,Manual,2512201.39
Audi,1,129447,1662,15.31,1,CNG,Manual,2989172.85
Jaguar,9,125029,1053,22.13,3,Diesel,Manual,2440691.5
Honda,8,81272,980,10.04,3,Diesel,Automatic,536402.83
Maruti,4,42643,1480,20.49,2,CNG,Manual,586968.72
Honda,12,48950,1624,17.03,1,CNG,Manual,265332.76
BMW,11,105500,1499,12.9,3,CNG,Automatic,2367128.96
Honda,10,130588,3413,16.38,3,CNG,Manual,616409.58
Jaguar,5,20997,2149,13.1,4,CNG,Manual,3156019.39
BMW,13,84751,2180,18.13,3,Diesel,Automatic,2632017.62
Honda,5,103605,2473,15.38,2,Petrol,Automatic,1070931.65
Jaguar,11,60533,3527,10.79,1,CNG,Manual,3067893.28
Maruti,12,87566,3238,9.98,3,CNG,Automatic,421886.87
Honda,6,113255,2438,17.29,4,Petrol,Manual,690797.52
Jaguar,7,63005,2757,23.34,1,Petrol,Automatic,3434582.59
Audi,8,48541,3956,13.85,3,Petrol,Manual,3235017.39
Toyota,14,28387,1011,20.46,4,Petrol,Automatic,234404.81
Audi,8,98980,2338,19.2,3,Petrol,Manual,2564170.88
Toyota,11,90457,1183,23.84,1,Petrol,Automatic,495253.92
Mercedes,14,149129,2514,21.96,1,Diesel,Automatic,2809591.87
Mercedes,13,69028,1141,17.63,1,Petrol,Automatic,2566173.95
Mercedes,2,124246,2638,19.17,2,Petrol,Automatic,3630881.54
Maruti,9,60731,2787,23.27,3,Diesel,Automatic,879282.09
Audi,7,49638,1643,14.79,2,Petrol,Automatic,2843147.71
Toyota,4,25567,3909,13.56,1,CNG,Automatic,2014894.56
Jaguar,4,62804,2334,8.18,4,CNG,Manual,3131967.58
BMW,11,113821,1219,22.05,3,Petrol,Manual,2119902.38
Jaguar,8,8754,3598,21.62,2,Diesel,Automatic,3872215.38
BMW,4,32044,2788,9.78,3,CNG,Automatic,3482379.97
Land Rover,13,72260,2732,17.81,4,Diesel,Manual,3039459.12
Jaguar,6,71912,2649,15.89,2,CNG,Manual,3182612.31
Honda,5,13706,1105,10.02,1,Petrol,Automatic,935207.3
Honda,3,13894,3549,24.67,2,Diesel,Manual,1814332.42
Hyundai,13,88986,1668,11.65,3,Diesel,Manual,-53351.07
Audi,14,86942,3384,9.14,3,Diesel,Automatic,2820435.55
BMW,10,34725,1935,18.11,3,CNG,Automatic,2821485.74
BMW,11,141998,2234,20.56,3,CNG,Automatic,2508067.05
Audi,2,109555,1005,8.55,1,CNG,Manual,2712332.26
Maruti,9,14496,1295,19.2,2,Petrol,Automatic,412438.5
Hyundai,10,61447,3918,17.05,1,CNG,Automatic,1128167.6
Maruti,9,106604,2709,9.76,1,Petrol,Manual,347338.4
Maruti,1,93199,3351,10.93,1,Diesel,Automatic,1600181.3
Maruti,10,46321,1845,17.66,3,Diesel,Manual,293279.95
Audi,3,60147,1012,13.04,3,Petrol,Manual,2675904.27
Maruti,8,96396,1109,23.95,3,CNG,Manual,12776.72
Honda,6,43787,3508,21.92,2,Petrol,Manual,1278964.29
Mercedes,5,26727,2791,24.72,4,Diesel,Manual,3630858.28
Land Rover,5,100081,3600,12.41,3,Diesel,Manual,3925750.84
BMW,6,127721,1071,24.49,2,Petrol,Automatic,2686527.79
BMW,7,73056,2622,15.33,3,CNG,Automatic,3108594.3
Land Rover,1,139153,3785,13.91,3,CNG,Automatic,4274398.14
Audi,9,85102,2879,8.86,1,Petrol,Manual,2823417.12
Jaguar,3,81865,1242,8.9,1,Petrol,Automatic,3164714.22
Audi,4,72695,3009,19.76,1,CNG,Manual,3337754.38
BMW,10,122235,3614,15.78,2,Diesel,Automatic,3238757.41
BMW,1,113777,1053,11.85,4,Petrol,Manual,2783934.82
Land Rover,13,24033,1320,18.44,4,CNG,Automatic,2919870.98
Maruti,11,146877,1776,12.3,2,CNG,Manual,-231005.1
Audi,10,31832,809,17.82,3,Diesel,Automatic,2505898.68
Toyota,3,120725,3573,14.11,2,Diesel,Manual,1609236.69
Land Rover,2,24873,3352,22.0,3,Diesel,Automatic,4585469.34
Honda,2,45372,3632,21.95,2,Diesel,Manual,1813269.82
BMW,14,94464,2383,16.11,2,Diesel,Automatic,2635261.1
Land Rover,1,122322,3283,13.96,2,Petrol,Automatic,4190044.14
Audi,8,105082,1934,14.16,4,CNG,Automatic,2618960.96
BMW,3,10110,952,21.7,1,Petrol,Manual,3080165.8
Jaguar,3,17087,2458,13.58,2,Petrol,Manual,3485167.86
Land Rover,6,87617,3764,11.55,4,Petrol,Manual,3757836.5
Hyundai,13,105483,3716,9.44,1,Petrol,Manual,465274.37
BMW,8,14596,3973,15.93,1,Petrol,Manual,3531256.02
Audi,13,112539,3600,16.2,2,Diesel,Automatic,2965779.26
Mercedes,9,23313,2656,22.3,3,Diesel,Manual,3305997.54
Toyota,9,118175,2014,11.76,3,CNG,Automatic,635095.27
Ford,4,119914,2552,14.48,3,Petrol,Automatic,1023630.96
Maruti,14,28705,3410,21.74,2,CNG,Manual,427120.26
Ford,5,78445,1904,22.0,3,Diesel,Automatic,1018176.54
Audi,2,108892,3336,14.54,4,Diesel,Manual,3440499.99
Honda,11,7023,1694,15.81,4,Diesel,Manual,477893.2
Honda,9,124654,1911,13.16,4,Petrol,Manual,212277.92
Mercedes,8,85073,903,23.85,4,Petrol,Automatic,2697955.37
Maruti,3,97197,3967,10.02,1,Diesel,Manual,1410499.15
Hyundai,11,69429,2714,23.87,4,CNG,Manual,324297.98
Mercedes,12,109195,3872,19.63,3,CNG,Manual,3017564.49
Ford,13,38848,1806,17.04,2,Diesel,Automatic,539858.02
Mercedes,9,32766,1206,8.56,3,CNG,Manual,2620771.27
Ford,3,73099,2201,16.09,4,Diesel,Automatic,1230802.0
BMW,9,74122,966,14.93,1,CNG,Automatic,2553355.08
Honda,2,53868,1308,10.74,4,Diesel,Manual,900819.15
BMW,12,124119,2461,19.16,2,CNG,Automatic,2600045.82
Toyota,10,100286,3160,24.51,3,Petrol,Automatic,1023168.02
Maruti,9,11643,1562,17.56,2,Diesel,Manual,491348.26
Hyundai,8,41727,1480,20.15,2,Diesel,Manual,520459.79
Ford,9,147077,3324,9.16,2,CNG,Manual,580765.61
Hyundai,5,114079,2920,15.1,3,Diesel,Automatic,1084261.53
Ford,11,70697,1964,9.98,4,Diesel,Manual,309253.8
Audi,11,21029,1381,18.42,2,Diesel,Automatic,2721274.9
Mercedes,2,114458,1061,23.95,3,Petrol,Automatic,3214443.89
Toyota,8,115384,2163,19.25,1,Petrol,Automatic,931230.44
Honda,12,73926,2131,9.31,3,CNG,Automatic,411100.13
Ford,6,142069,3092,14.03,1,Petrol,Automatic,1032141.57
Hyundai,8,60506,2338,17.36,3,CNG,Manual,520775.37
Toyota,11,83229,1360,14.85,4,Petrol,Manual,150342.73
Jaguar,5,47092,1899,22.17,2,CNG,Automatic,3358341.95
Jaguar,10,67539,2703,21.85,4,Petrol,Automatic,3034057.63
BMW,2,18428,974,18.4,3,Petrol,Manual,3012987.69
Honda,6,146330,2956,14.35,2,CNG,Manual,760320.12
Audi,5,62775,3030,12.34,1,Diesel,Automatic,3609042.75
Hyundai,12,10469,991,9.8,3,Diesel,Automatic,266530.48
Mercedes,13,33854,864,14.03,2,Petrol,Manual,2281398.2
Mercedes,12,142328,3810,15.02,1,CNG,Manual,2991973.47
Hyundai,5,81256,2297,19.49,1,Diesel,Automatic,1144279.23
Maruti,13,104134,3971,19.19,4,CNG,Manual,361220.36
Audi,1,137723,2367,9.19,3,Diesel,Manual,3124285.4
Toyota,2,89730,3711,14.72,1,CNG,Automatic,1899766.18
Ford,8,32386,1951,11.09,2,Petrol,Automatic,835573.09
Maruti,13,38787,2737,10.67,1,CNG,Automatic,479352.97
Ford,14,26621,1168,22.06,1,Diesel,Manual,196289.13
Ford,13,82984,1650,8.71,4,Petrol,Automatic,25161.86
Maruti,3,39051,842,15.13,4,CNG,Manual,392540.93
BMW,10,54811,2707,10.86,2,Diesel,Automatic,3172211.49
Jaguar,3,35447,3335,22.95,4,Petrol,Automatic,3835274.43
Ford,8,133046,877,17.47,1,CNG,Manual,55401.95
Maruti,8,89045,3673,11.93,1,Diesel,Manual,952284.42
Maruti,2,121859,2624,16.54,4,CNG,Automatic,911931.88
Land Rover,8,8471,2093,20.44,1,CNG,Automatic,3709194.95
BMW,11,125312,1473,24.29,1,Petrol,Manual,2274877.66
Honda,13,144401,1500,11.75,2,Petrol,Automatic,-22271.46
Land Rover,13,51850,1558,23.07,4,Diesel,Manual,2842042.66
Land Rover,1,59220,2723,23.88,1,Petrol,Manual,4133627.41
Hyundai,6,98808,3575,23.58,4,Diesel,Automatic,1263733.13
Jaguar,8,142469,3772,18.8,2,CNG,Manual,3144089.36
Maruti,3,58072,1701,18.71,4,CNG,Manual,602810.28
Jaguar,8,88820,3736,14.85,1,Diesel,Manual,3456849.32
Audi,12,28284,1792,20.79,4,CNG,Automatic,2496869.76
Hyundai,1,88369,1991,17.03,1,Petrol,Manual,1015052.73
Honda,11,30122,3186,19.52,1,CNG,Automatic,1074086.54
Jaguar,11,135349,3040,15.28,1,Petrol,Automatic,2937806.58
Mercedes,9,75553,2276,20.44,2,Diesel,Automatic,3302851.32
Ford,13,99788,3130,22.02,4,Diesel,Manual,463004.64
Audi,11,67812,1189,10.49,2,CNG,Manual,2140622.95
BMW,13,12999,1799,22.16,4,CNG,Automatic,2572272.97
Honda,9,27436,1324,17.19,2,Petrol,Automatic,583076.15
Audi,5,47963,2655,22.36,3,Petrol,Manual,3138009.27
Ford,10,138168,2306,15.33,1,CNG,Automatic,545346.53
Hyundai,4,113899,1458,14.44,1,CNG,Automatic,723583.82
Ford,11,31201,3563,23.56,2,Diesel,Manual,992319.85
Land Rover,6,10105,1690,12.27,3,Diesel,Automatic,3767056.76
Ford,12,122666,2281,22.35,1,Diesel,Manual,358717.08
Land Rover,7,99848,3960,16.23,4,CNG,Manual,3687921.12
Hyundai,5,7839,3966,16.74,2,CNG,Automatic,1652437.64
Toyota,11,73920,1251,13.24,1,CNG,Manual,286761.05
Land Rover,13,48619,3275,17.74,1,Diesel,Manual,3495516.16
BMW,10,47821,2337,13.53,2,CNG,Manual,2726418.6
Ford,9,130736,3893,8.67,2,Petrol,Automatic,976625.76
Ford,3,149565,1682,12.62,4,CNG,Automatic,667472.96
BMW,7,22069,1112,8.11,4,CNG,Automatic,2733183.83
Mercedes,10,12531,1639,24.63,1,CNG,Manual,2892927.34
Maruti,10,143808,3366,24.42,1,CNG,Manual,423043.11
Toyota,11,143782,1174,14.72,2,CNG,Automatic,210232.63
Honda,5,72155,1250,20.38,1,Petrol,Automatic,888910.08
Land Rover,14,67424,3862,13.88,1,Petrol,Manual,3345016.86
BMW,7,50603,1394,19.41,2,CNG,Automatic,2888292.38
Hyundai,2,137503,2033,21.69,1,Diesel,Automatic,1122215.26
Land Rover,4,97573,1299,24.09,1,CNG,Automatic,3548041.73
Maruti,2,145629,1263,14.8,3,CNG,Automatic,529598.19
Hyundai,14,108302,3995,21.32,4,CNG,Automatic,600247.66
Audi,13,136234,912,12.52,2,Diesel,Manual,1843205.99
Ford,13,24675,1835,24.84,3,Diesel,Automatic,563474.87
Audi,12,78997,3997,8.44,4,Diesel,Automatic,3083439.54
Land Rover,7,145905,3178,18.26,4,Petrol,Manual,3339453.67
Maruti,2,12896,2724,19.21,4,Diesel,Manual,1277145.5
Toyota,13,54733,939,19.7,3,Petrol,Manual,19703.49
